customer_id,name,email,phone,address,dob,account_open_date
C1044,Ricardo Keller,justin92@example.org,(958)673-5564x5641,"3257 Daniel Lights, Marshallmouth, OK 81515",1959-01-14,2020-02-16
C1045,David Holmes,davislogan@example.org,(509)206-1435x21250,"19931 Gonzalez Alley, Jonesburgh, IN 30247",2003-08-14,2019-12-15
C1046,Jessica James,gilbertjoseph@example.net,(255)472-9814x114,"3953 Romero Crest, Lake Rhondaville, NY 59180",1974-09-25,2020-09-06
C1047,Jason Bennett,lori37@example.org,(676)907-0867x363,"4579 Tanya Pike, East Kevinhaven, SC 88733",1952-11-13,2016-09-21
C1048,George Howell,katiemcdonald@example.net,567.732.6058,"97939 Johnson Oval Suite 830, North Dennismouth, VI 88870",1983-07-25,2022-09-29
C1049,Vincent Black,nicole57@example.net,925.385.7675,"67835 Andrew Fords, Port Robertshire, VI 54423",1979-03-17,2022-06-20
C1050,Mary Schmidt,iparker@example.net,619-370-3695,"098 Hernandez Green, New Sergiobury, MS 50840",1992-02-17,2025-05-29
C1051,Kevin Walls,moorecourtney@example.net,218.376.5601x6922,"44615 Brooks Unions, Lake Makayla, ND 08313",1966-06-23,2021-08-28
C1052,Jon Johnson,martin51@example.net,+1-461-949-1819,"1832 Raymond Rest, Baileyview, VA 46184",2006-06-27,2021-08-10
C1053,John Edwards,joshuabeck@example.org,354-450-1904,"857 Robert Place, Martinezshire, NH 42985",1956-02-08,2018-07-18
C1054,Michael Johnson,littlejoseph@example.net,558-640-3824x90664,"USCGC Preston, FPO AP 16607",1971-10-29,2017-10-30
C1055,Michael Woods,allenkyle@example.org,(970)658-6183,"0285 John Forges Suite 228, Amyburgh, IN 95104",1971-06-06,2024-12-20
C1056,Dana Castro,juliewarren@example.com,001-907-330-6268x636,"010 Julie Mission, Tracistad, TN 52444",1961-05-28,2016-11-24
C1057,Laurie Yang,gillbrian@example.org,001-773-772-9840x925,"420 Roman Village Apt. 965, Turnerberg, NJ 39285",2004-03-14,2023-02-22
C1058,Samuel Morrison,sriley@example.net,993-736-3482x8298,"8034 Vazquez Brook Apt. 914, Port Morganburgh, RI 23253",2002-04-16,2022-09-30
C1059,Debra Craig,smithsabrina@example.org,636-775-5196x1020,"52272 Willis Wall Apt. 006, Lake Deborahberg, NY 11670",1971-07-21,2019-06-14
C1060,Tammy Harvey,morgandevon@example.net,001-847-979-5417x2184,"621 Mary Summit, Phillipsville, TX 56307",1961-08-27,2023-12-27
C1061,Katrina Herrera,smithcathy@example.org,566-270-5216,"96284 Sullivan Village, Lake Maryside, FL 73975",2004-06-11,2017-05-28
C1062,Tyler Rivas,qroberts@example.org,(200)781-0422x8215,"115 Jon Isle Suite 788, North Lesliefurt, WI 53362",1979-04-18,2021-08-24
C1063,Susan Thomas,gpoole@example.com,(612)620-6911,"9597 Hall Parkway Apt. 655, East Autumnfort, DE 48734",1972-07-21,2022-04-29
C1064,Kelly Rodriguez,hudsonbernard@example.com,(754)477-6037,"PSC 7826, Box 4973, APO AE 93193",1973-10-02,2022-05-14
C1065,Megan Carr,beth69@example.net,(586)663-5643,"USNV Dunlap, FPO AE 79055",1966-05-31,2022-06-19
C1066,Charles Wolf,amandapage@example.org,673.829.5931x873,"6500 Sue Rapids, Port Angela, CO 33380",1976-09-22,2023-01-08
C1067,Ernest Nunez,hbrown@example.org,324-298-7486x75311,"919 Andrew Turnpike Apt. 419, Mckinneyshire, RI 70128",2005-07-06,2024-12-12
C1068,Christopher White,derrickliu@example.com,742.994.3126x2390,"94930 Madison Streets Apt. 622, Ryanhaven, MD 29335",1987-05-02,2020-09-13
C1069,Jessica Shepard,emma31@example.com,345.389.4348x6126,"726 Kemp Plain, Port Lacey, WA 09470",1961-11-01,2025-11-16
C1070,Anthony Whitaker,yfitzgerald@example.net,(889)520-4978,"18618 Curry Expressway Apt. 333, New Nicholasland, FM 72324",1958-07-13,2018-02-13
C1071,Corey Villarreal MD,andreameyer@example.net,(596)247-9055x30373,"1944 Murphy Stravenue Suite 191, Woodland, IN 18339",1970-12-04,2024-12-05
C1072,Kari Thomas,jocelyn21@example.net,351-653-3486x66027,"397 Moore Drive, Bakerborough, DE 21181",1953-11-29,2025-04-18
C1073,Taylor Combs,karen91@example.net,(611)873-8009x174,"982 Santos Road, North Jeremy, VT 79284",1987-08-25,2024-11-07
C1074,Valerie Charles,carlosramirez@example.com,+1-779-649-6012x705,"43319 John Pike Apt. 750, Roberthaven, OH 17431",1989-11-30,2023-04-17
C1075,Virginia Bradshaw,cody43@example.net,841-952-7067x048,"04164 Todd Mountains, Zacharyberg, PA 65697",1962-01-10,2024-11-13
C1076,Christine Green,sandovalryan@example.com,+1-835-862-1357x725,"87210 Pena Freeway, Walshville, MT 08009",1987-09-05,2019-02-05
C1077,Donald Martinez,aaron20@example.org,357-233-5974x82760,"8184 Curtis Ridges, Joybury, PW 15084",1988-03-24,2020-07-31
C1078,David Gallegos,scottdecker@example.org,+1-660-811-4163,"60969 Justin Passage Suite 774, Joshuaburgh, HI 29630",2001-11-02,2019-05-15
C1079,John Kramer,emma01@example.com,001-982-736-9582x0767,"72188 Austin Fords, South Andrewfort, VT 97979",1966-09-23,2025-04-13
C1080,Edward Duran,gcole@example.net,210-815-6663x4768,"66699 Harrison Land Suite 692, Benjaminmouth, NV 41180",1949-04-13,2018-05-27
C1081,James Weber,isaacmacdonald@example.org,001-912-690-3208x66246,"USS Moore, FPO AE 14474",1986-10-10,2020-11-14
C1082,Morgan Torres,rjohnson@example.com,001-271-304-3748x36160,"0009 Eric Ranch Apt. 719, North Stacey, OH 18189",1995-04-04,2016-11-25
C1083,Richard Wilson,michaelryan@example.org,278.528.1256x8218,"8589 Stout Garden Apt. 296, Jillstad, NY 49476",1946-06-16,2016-02-23
C1084,Michael Clark,jacobpoole@example.net,424.642.0255x3187,"356 Susan Trail, Grantton, SC 44018",1959-09-22,2016-06-21
C1085,Kimberly Osborne,samanthawilliams@example.com,001-915-560-4324x5812,"4040 Lauren Estate, Georgefurt, IN 76922",1979-09-13,2018-02-11
C1086,Maria Mullins,shawnpayne@example.com,001-495-955-1065,"690 Christina Park, Toddburgh, FL 89463",1972-02-26,2026-02-16
C1087,Nancy Day,johnnyhaynes@example.org,001-604-821-2426,"7149 Scott Stravenue Suite 698, South Sharonhaven, NY 27108",1971-09-18,2023-06-12
C1088,Miranda Sanford,zpeters@example.com,001-900-476-8587x878,"534 Jones Court, Port Catherine, SC 17371",2007-01-25,2021-02-07
C1089,Shannon Hendrix,qpatton@example.com,483-405-8468x91428,"00771 Donald Mountain Apt. 941, Michaelberg, FM 61831",2002-08-23,2016-07-24
C1090,Brian Byrd,diane95@example.org,001-807-566-3164x76762,"1275 Carter Valleys, Cooperburgh, NH 17219",1989-07-17,2024-03-02
C1091,Brent Willis MD,grant52@example.com,(411)465-5450x342,"84106 Peter Oval, Lake Donald, PW 15317",1954-08-29,2017-05-01
C1092,Steven Campbell,robinsonjulie@example.com,(728)974-5264x2213,"8647 Donald Extensions, Perezbury, CA 16970",2002-10-30,2020-07-14
C1093,Paul Martinez,jamesjensen@example.com,+1-375-697-8440x99243,"78889 Berg Island, Jeremymouth, NM 19484",1977-11-14,2023-07-06
C1094,Oscar Drake,millermelissa@example.org,001-710-854-3103x25689,"390 Rojas Mall, Port James, OR 83879",1953-04-13,2025-04-01
C1095,Nicole Ware,apeterson@example.com,648-847-8565x64037,"73293 Molly Groves, New Melissa, TN 64065",1952-10-13,2025-07-03
C1096,Clinton Anthony,blackjacqueline@example.org,001-419-722-9355x1167,"399 Morrison Court, South Mary, CT 98681",2002-01-31,2025-07-16
C1097,Tim Baker,gary58@example.org,001-316-900-3563x56915,"60552 Ann Mount Apt. 922, Erinmouth, PR 91371",1949-05-24,2020-01-12
C1098,Julie Johnson,lambstanley@example.org,(745)449-2770,"2921 Hancock Passage, Kaneside, SD 18675",2002-04-18,2024-05-07
C1099,Michael Hoffman,lisadavis@example.org,673.906.5459,"PSC 0476, Box 3708, APO AP 96145",1970-01-19,2023-04-09
